SampleID	group	timepoint_cat	group_timepoint	timepoint	week_cat	date	swab_location	enclosure 	substrate	solo_group	treatment
PQ13	quarantine	quarantine week 2	quarantine quarantine week 2	4	D	4/15/15	Dorsal & Ventral	Q4T8A	Wet paper towel	Group	Ivermectin
PQ14	quarantine	quarantine week 2	quarantine quarantine week 2	4	D	4/15/15	Dorsal & Ventral	Q4T8A	Wet paper towel	Group	Ivermectin
PQ15	quarantine	quarantine week 2	quarantine quarantine week 2	4	D	4/15/15	Dorsal & Ventral	Q4T8A	Wet paper towel	Group	Ivermectin
PQ16	quarantine	quarantine week 2	quarantine quarantine week 2	4	D	4/15/15	Dorsal & Ventral	Q4T8A	Wet paper towel	Group	Ivermectin
PQ17	quarantine	quarantine week 2	quarantine quarantine week 2	4	D	4/15/15	Dorsal & Ventral	Q4T8A	Wet paper towel	Group	Ivermectin
PQ18	quarantine	quarantine week 2	quarantine quarantine week 2	4	D	4/15/15	Dorsal & Ventral	Q4T8A	Wet paper towel	Group	Ivermectin
PQ19	quarantine	quarantine week 2	quarantine quarantine week 2	4	D	4/15/15	Dorsal & Ventral	Q4T8A	Wet paper towel	Group	Ivermectin
PQ20	quarantine	quarantine week 2	quarantine quarantine week 2	4	D	4/15/15	Dorsal & Ventral	Q4T8A	Wet paper towel	Group	Ivermectin
PQ21	quarantine	quarantine week 4	quarantine quarantine week 4	5	E	4/29/15	Dorsal & Ventral	Q4T6A	Wet paper towel	Group	Ivermectin
PQ22	quarantine	quarantine week 4	quarantine quarantine week 4	5	E	4/29/15	Dorsal & Ventral	Q4T6A	Wet paper towel	Group	Ivermectin
PQ23	quarantine	quarantine week 4	quarantine quarantine week 4	5	E	4/29/15	Dorsal & Ventral	Q4T6A	Wet paper towel	Group	Ivermectin
PQ24	quarantine	quarantine week 4	quarantine quarantine week 4	5	E	4/29/15	Dorsal & Ventral	Q4T6A	Wet paper towel	Group	Ivermectin
PQ25	quarantine	quarantine week 4	quarantine quarantine week 4	5	E	4/29/15	Dorsal & Ventral	Q4T6A	Wet paper towel	Group	Ivermectin
PQ26	quarantine	quarantine week 4	quarantine quarantine week 4	5	E	4/29/15	Dorsal & Ventral	Q4T6A	Wet paper towel	Group	Ivermectin
PQ27	quarantine	quarantine week 4	quarantine quarantine week 4	5	E	4/29/15	Dorsal & Ventral	Q4T6A	Wet paper towel	Group	Ivermectin
PQ28	quarantine	quarantine week 4	quarantine quarantine week 4	5	E	4/29/15	Dorsal & Ventral	Q4T6A	Wet paper towel	Group	Ivermectin
PQ29	quarantine	quarantine week 4	quarantine quarantine week 4	5	E	4/29/15	Dorsal & Ventral	Q4T6A	Wet paper towel	Group	Ivermectin
PQ30	quarantine	quarantine week 7	quarantine quarantine week 7	6	F	5/20/15	Dorsal & Ventral	Q4T6A	Wet paper towel	Group	Ivermectin
PQ31	quarantine	quarantine week 7	quarantine quarantine week 7	6	F	5/20/15	Dorsal & Ventral	Q4T6A	Wet paper towel	Group	Ivermectin
PQ32	quarantine	quarantine week 7	quarantine quarantine week 7	6	F	5/20/15	Dorsal & Ventral	Q4T6A	Wet paper towel	Group	Ivermectin
PQ33	quarantine	quarantine week 7	quarantine quarantine week 7	6	F	5/20/15	Dorsal & Ventral	Q4T6A	Wet paper towel	Group	Ivermectin
PQ34	quarantine	quarantine week 7	quarantine quarantine week 7	6	F	5/20/15	Dorsal & Ventral	Q4T6A	Wet paper towel	Group	Ivermectin
PQ35	quarantine	quarantine week 7	quarantine quarantine week 7	6	F	5/20/15	Dorsal & Ventral	Q4T6A	Wet paper towel	Group	Ivermectin
PQ36	quarantine	quarantine week 7	quarantine quarantine week 7	6	F	5/20/15	Dorsal & Ventral	Q4T6A	Wet paper towel	Group	Ivermectin
PQ37	quarantine	quarantine week 7	quarantine quarantine week 7	6	F	5/20/15	Dorsal & Ventral	Q4T6A	Wet paper towel	Group	Ivermectin
PO47	quarantine	quarantine week 9	quarantine quarantine week 9	7	G	6/3/15	Dorsal & Ventral	Q4T6A	Wet paper towel	Group	Ivermectin
PQ38	quarantine	quarantine week 9	quarantine quarantine week 9	7	G	6/3/15	Dorsal & Ventral	Q4T6A	Wet paper towel	Group	Ivermectin
PQ39	quarantine	quarantine week 9	quarantine quarantine week 9	7	G	6/3/15	Dorsal & Ventral	Q4T6A	Wet paper towel	Group	Ivermectin
PQ40	quarantine	quarantine week 9	quarantine quarantine week 9	7	G	6/3/15	Dorsal & Ventral	Q4T6A	Wet paper towel	Group	Ivermectin
PQ41	quarantine	quarantine week 9	quarantine quarantine week 9	7	G	6/3/15	Dorsal & Ventral	Q4T6A	Wet paper towel	Group	Ivermectin
PQ42	quarantine	quarantine week 9	quarantine quarantine week 9	7	G	6/3/15	Dorsal & Ventral	Q4T6A	Wet paper towel	Group	Ivermectin
PQ43	quarantine	quarantine week 9	quarantine quarantine week 9	7	G	6/3/15	Dorsal & Ventral	Q4T6A	Wet paper towel	Group	Ivermectin
PQ44	quarantine	quarantine week 9	quarantine quarantine week 9	7	G	6/3/15	Dorsal & Ventral	Q4T6A	Wet paper towel	Group	Ivermectin
PQ45	quarantine	quarantine week 9	quarantine quarantine week 9	7	G	6/3/15	Dorsal & Ventral	Q4T6A	Wet paper towel	Group	Ivermectin
PQ46	quarantine	quarantine week 9	quarantine quarantine week 9	7	G	6/3/15	Dorsal & Ventral	Q4T6A	Wet paper towel	Group	Ivermectin
PQ48	quarantine	quarantine week 9	quarantine quarantine week 9	7	G	6/3/15	Dorsal & Ventral	Q4T6A	Wet paper towel	Group	Ivermectin
PQ49	quarantine	quarantine week 9	quarantine quarantine week 9	7	G	6/3/15	Dorsal & Ventral	Q4T6A	Wet paper towel	Group	Ivermectin
PQ50	quarantine	quarantine week 9	quarantine quarantine week 9	7	G	6/3/15	Dorsal & Ventral	Q4T6A	Wet paper towel	Group	Ivermectin
PQ51B	quarantine	quarantine week 9	quarantine quarantine week 9	7	G	6/3/15	Dorsal & Ventral	Q4T6A	Wet paper towel	Group	Ivermectin
PQ52	quarantine	quarantine week 9	quarantine quarantine week 9	7	G	6/3/15	Dorsal & Ventral	Q4T6A	Wet paper towel	Group	Ivermectin
PQ53	quarantine	quarantine week 9	quarantine quarantine week 9	7	G	6/3/15	Dorsal & Ventral	Q4T6A	Wet paper towel	Group	Ivermectin
PQ54	quarantine	quarantine week 9	quarantine quarantine week 9	7	G	6/3/15	Dorsal & Ventral	Q4T6A	Wet paper towel	Group	Ivermectin
PQ55	quarantine	quarantine week 9	quarantine quarantine week 9	7	G	6/3/15	Dorsal & Ventral	Q4T6A	Wet paper towel	Group	Ivermectin
